IP	Port	Protocol
106.193.140.131	17761	unknown
106.193.140.131	19584	unknown
106.193.140.131	25028	unknown
106.193.140.131	3712	unknown
106.193.140.131	54401	unknown
106.193.148.179	10913	unknown
106.193.148.179	39416	unknown
106.193.151.155	64097	unknown
106.193.154.42	25153	unknown
106.193.154.42	25274	unknown
106.193.154.42	36416	unknown
106.193.154.42	44160	unknown
106.193.154.42	53185	unknown
106.193.154.42	61409	unknown
106.193.157.133	25825	unknown
106.193.157.133	27360	unknown
106.193.157.133	31649	unknown
106.193.157.133	55200	unknown
106.193.157.133	63809	unknown
106.193.157.133	6592	unknown
106.193.158.108	30720	unknown
106.193.158.108	37793	unknown
106.193.167.239	18113	unknown
106.193.167.239	23670	unknown
106.193.167.239	35547	unknown
106.193.167.239	48320	unknown
106.193.167.239	50113	unknown
106.193.167.239	52321	unknown
106.193.167.239	55002	unknown
106.193.172.68	12001	unknown
106.193.172.68	12100	unknown
106.193.172.68	18017	unknown
106.193.172.68	27872	unknown
106.193.172.68	48353	unknown
106.193.172.68	60640	unknown
106.193.172.68	7073	unknown
106.193.175.201	10080	unknown
106.193.180.20	10509	unknown
106.193.195.103	49440	unknown
106.193.195.103	7456	unknown
106.193.222.148	62913	unknown
106.193.237.174	12448	unknown
106.193.237.174	17985	unknown
106.193.237.174	24544	unknown
106.193.237.174	2528	unknown
106.193.237.174	2631	unknown
106.193.237.174	34881	unknown
106.193.24.5	48993	unknown
106.193.247.63	3282	unknown
106.194.156.225	31643	unknown
106.194.194.176	6337	unknown
106.194.196.167	55905	unknown
106.194.196.208	21024	unknown
106.194.201.91	14849	unknown
106.194.201.91	17243	unknown
106.194.201.91	38977	unknown
106.194.201.91	42337	unknown
106.194.201.91	4641	unknown
106.194.201.91	46913	unknown
106.194.201.91	57569	unknown
106.194.201.91	9441	unknown
106.194.203.76	31905	unknown
106.194.204.115	12433	unknown
106.194.205.199	17601	unknown
106.194.205.199	41313	unknown
106.194.212.24	29345	unknown
106.194.212.24	32321	unknown
106.194.212.24	39361	unknown
106.194.212.24	44275	unknown
106.194.212.24	57109	unknown
106.194.212.24	61409	unknown
106.194.212.24	6817	unknown
106.194.213.227	41505	unknown
106.194.213.227	45408	unknown
106.194.215.250	25185	unknown
106.194.216.23	16673	unknown
106.194.216.23	51595	unknown
106.194.217.134	19681	unknown
106.194.217.134	49505	unknown
106.194.218.126	17089	unknown
106.194.218.126	2768	unknown
106.194.218.126	34689	unknown
106.194.218.126	35616	unknown
106.194.218.126	46881	unknown
106.194.218.126	48608	unknown
106.194.218.126	51809	unknown
106.194.218.126	53862	unknown
106.194.224.84	2209	unknown
106.194.225.161	42997	unknown
106.194.227.163	11060	unknown
106.194.227.163	55364	unknown
106.194.228.49	4033	unknown
106.194.228.49	47361	unknown
106.194.228.92	20385	unknown
106.194.228.92	52065	unknown
106.194.234.128	21128	unknown
106.194.234.128	26478	unknown
106.194.235.49	36577	unknown
106.194.236.7	33089	unknown
106.194.240.106	65281	unknown
106.194.243.9	19681	unknown
106.194.244.73	26593	unknown
106.194.244.73	56257	unknown
106.194.253.244	18497	unknown
106.194.253.244	27105	unknown
106.194.253.244	45919	unknown
106.194.253.244	51885	unknown
106.194.253.244	56161	unknown
106.194.253.244	57345	unknown
106.194.253.244	59361	unknown
106.194.86.61	13089	unknown
106.194.86.61	29377	unknown
106.194.86.61	38203	unknown
106.194.86.61	39869	unknown
106.194.86.61	45457	unknown
106.194.86.61	52097	unknown
106.195.10.60	41760	unknown
106.195.10.60	51329	unknown
106.195.118.63	58049	unknown
106.195.14.138	44641	unknown
106.195.14.138	63009	unknown
106.195.34.108	43745	unknown
106.195.34.128	23713	unknown
106.195.34.128	55905	unknown
106.195.38.77	54465	unknown
106.195.38.77	58593	unknown
106.195.4.140	20415	unknown
106.195.4.140	7168	unknown
106.195.44.60	19391	unknown
106.195.45.157	34913	unknown
106.195.45.157	36577	unknown
106.195.5.98	46315	unknown
106.195.64.59	20961	unknown
106.195.7.154	34657	unknown
106.196.10.223	10977	unknown
106.196.11.208	44417	unknown
106.198.10.205	56347	unknown
106.198.21.18	4737	unknown
106.198.23.66	21533	unknown
106.198.23.66	39760	unknown
106.198.43.188	18625	unknown
106.200.107.45	23777	unknown
106.200.114.12	8993	unknown
106.200.149.138	2209	unknown
106.205.153.129	11456	unknown
106.205.153.129	51809	unknown
106.205.160.65	20192	unknown
106.205.160.65	2278	unknown
106.205.160.65	35552	unknown
106.205.160.65	38816	unknown
106.205.160.65	54272	unknown
106.205.160.65	64416	unknown
106.205.161.163	5761	unknown
106.205.163.213	4961	unknown
106.205.170.59	58721	unknown
106.205.173.55	7873	unknown
106.205.177.98	23136	unknown
106.205.182.101	11583	unknown
106.205.182.41	12001	unknown
106.205.254.195	33249	unknown
106.205.254.195	56417	unknown
106.206.117.115	40424	unknown
106.206.166.121	40125	unknown
106.206.202.143	12877	unknown
106.206.202.143	58401	unknown
106.206.202.143	62273	unknown
106.206.202.143	65281	unknown
106.206.202.143	6625	unknown
106.206.202.143	7521	unknown
106.206.206.109	59873	unknown
106.207.58.205	48480	unknown
106.208.40.239	22176	unknown
106.208.91.119	18563	unknown
106.208.91.119	30048	unknown
106.208.91.119	61377	unknown
106.209.147.136	51617	unknown
106.209.154.108	26977	unknown
106.209.154.108	33377	unknown
106.209.154.211	53632	unknown
106.209.154.211	7521	unknown
106.209.155.133	43851	unknown
106.209.161.16	26272	unknown
106.209.163.169	10592	unknown
106.209.163.174	60705	unknown
106.209.169.230	1504	unknown
106.209.170.172	20711	unknown
106.209.176.143	61185	unknown
106.209.177.75	32384	unknown
106.209.186.134	15680	unknown
