IP	Port	Protocol
10.78.1.221	123	ntp
10.78.16.34	62209	unknown
10.78.16.37	61604	unknown
10.79.1.10	10113	unknown
10.79.1.10	10287	unknown
10.79.1.10	10350	unknown
10.79.1.10	1068	unknown
10.79.1.10	10689	unknown
10.79.1.10	10767	unknown
10.79.1.10	11136	unknown
10.79.1.10	11232	unknown
10.79.1.10	1173	unknown
10.79.1.10	11887	unknown
10.79.1.10	12002	unknown
10.79.1.10	12087	unknown
10.79.1.10	13024	unknown
10.79.1.10	13443	unknown
10.79.1.10	13696	unknown
10.79.1.10	1377	unknown
10.79.1.10	14240	unknown
10.79.1.10	14243	unknown
10.79.1.10	14466	unknown
10.79.1.10	15027	unknown
10.79.1.10	15073	unknown
10.79.1.10	15081	unknown
10.79.1.10	15387	unknown
10.79.1.10	15521	unknown
10.79.1.10	16194	unknown
10.79.1.10	1636	unknown
10.79.1.10	16528	unknown
10.79.1.10	16587	unknown
10.79.1.10	16886	unknown
10.79.1.10	17157	unknown
10.79.1.10	17159	unknown
10.79.1.10	17352	unknown
10.79.1.10	17364	unknown
10.79.1.10	17751	unknown
10.79.1.10	17795	unknown
10.79.1.10	17897	unknown
10.79.1.10	17942	unknown
10.79.1.10	18017	unknown
10.79.1.10	18208	unknown
10.79.1.10	18427	unknown
10.79.1.10	18433	unknown
10.79.1.10	18728	unknown
10.79.1.10	19013	unknown
10.79.1.10	19028	unknown
10.79.1.10	19068	unknown
10.79.1.10	1921	unknown
10.79.1.10	19213	unknown
10.79.1.10	19393	unknown
10.79.1.10	19489	unknown
10.79.1.10	19959	unknown
10.79.1.10	2016	unknown
10.79.1.10	20162	unknown
10.79.1.10	20871	unknown
10.79.1.10	20943	unknown
10.79.1.10	2127	unknown
10.79.1.10	21728	unknown
10.79.1.10	2176	unknown
10.79.1.10	21760	unknown
10.79.1.10	2206	unknown
10.79.1.10	22497	unknown
10.79.1.10	22746	unknown
10.79.1.10	22849	unknown
10.79.1.10	22850	unknown
10.79.1.10	23110	unknown
10.79.1.10	2369	unknown
10.79.1.10	2383	unknown
10.79.1.10	24246	unknown
10.79.1.10	24278	unknown
10.79.1.10	24599	unknown
10.79.1.10	24864	unknown
10.79.1.10	24889	unknown
10.79.1.10	2542	unknown
10.79.1.10	25990	unknown
10.79.1.10	2602	unknown
10.79.1.10	26083	unknown
10.79.1.10	26176	unknown
10.79.1.10	26321	unknown
10.79.1.10	26601	unknown
10.79.1.10	26721	unknown
